Title,Authors,FirstAuthor,FirstAuthorAffiliation,LastAuthor,LastAuthorAffiliation,LastAuthorEmail,LastAuthorHindex,Abstract,Journal,PublicationDate,Grant
Most Drinking Water-Associated Disease Outbreaks Linked to Legionella.,"['Rubin, Rita']","Rubin, Rita",Independent journalist,"Rubin, Rita",Independent journalist,,5,,JAMA,2017 Dec 26,
Lyme Disease Spreading Beyond States With Historically High Incidence.,"['Rubin, Rita']","Rubin, Rita",Independent journalist,"Rubin, Rita",Independent journalist,,5,,JAMA,2017 Dec 26,
Negative Capability and the Art of Medicine.,"['Coulehan, Jack']","Coulehan, Jack",Stony Brook University,"Coulehan, Jack",Stony Brook University,,32,,JAMA,2017 Dec 26,
Insulin Dosing Error in a Patient With Severe Hyperkalemia.,"['Hewitt, D Brock', 'Barnard, Cynthia', 'Bilimoria, Karl Y']","Hewitt, D Brock",Northwestern University Feinberg School of Medicine,"Bilimoria, Karl Y",Northwestern University Feinberg School of Medicine,,56,,JAMA,2017 Dec 26,
Heat Stroke.,"['Peiris, Alan N', 'Jaroudi, Sarah', 'Noor, Rabiya']","Peiris, Alan N","TTUHSC School of Medicine, Lubbock","Noor, Rabiya",University of Lahore,,1,,JAMA,2017 Dec 26,
Association of Modifiable Risk Factors in Young Adulthood With Racial Disparity in Incident Type 2 Diabetes During Middle Adulthood.,"['Bancks, Michael P', 'Kershaw, Kiarri', 'Carson, April P', 'Gordon-Larsen, Penny', 'Schreiner, Pamela J', 'Carnethon, Mercedes R']","Bancks, Michael P",Northwestern University Feinberg School of Medicine,"Carnethon, Mercedes R",Northwestern University Feinberg School of Medicine,,50,"Importance: In the United States, black individuals are twice as likely to develop type 2 diabetes compared with white individuals, and these disparities are particularly pronounced in young and middle age. Prior studies have identified differences in traditional risk factors that may be associated with racial disparities in diabetes incidence but have not simultaneously adjusted for risk factors measured across multiple domains (eg, the individual and the environment) and updated over time. Objective: To determine the relative associations of modifiable biological, neighborhood, psychosocial, socioeconomic, and behavioral factors in young adulthood with the observed racial disparity in diabetes incidence between middle-aged black and white individuals. Design, Setting, and Participants: Black and white men and women from the observational Coronary Artery Risk Development in Young Adults study, aged 18 to 30 years, without diabetes at baseline (1985-1986; N = 4251) were observed through 2015-2016. Sex-stratified multivariable-adjusted Cox proportional hazards modeling, with adjustment for time-updated covariates, was used to estimate risk for incident diabetes. Percent reduction in the beta coefficient (the logarithm used to calculate the hazard ratio [HR]) was calculated to compare black to white participants. Exposures: Self-identified race and factors including biological (eg, fasting glucose, body mass index), neighborhood (racial segregation and tract-level poverty), psychosocial (depressive symptoms), socioeconomic (eg, personal and parental educational attainment, current employment), and behavioral (eg, regular alcohol consumption, smoking) domains. Main Outcomes and Measures: Incident type 2 diabetes mellitus. Results: The mean (SD) age at baseline was 25 (3.6) years, 49% (n = 2066) of the sample was black, and 54% (n = 2304) were women. Over a mean follow-up of 24.5 years, 504 cases of incident diabetes were identified. Using sex-stratified multivariable-adjusted Cox proportional hazards models, black women and men were more likely to develop diabetes than white men and women (black women: HR, 2.86 [95% CI, 2.19-3.72] and risk difference [RD], 89 cases/1000 people [95% CI, 61-117]; black men: HR, 1.67 [95% CI, 1.28-2.17] and RD, 47 cases/1000 people [95% CI, 15-78]) after adjustment for age and center. Biological factors were most strongly associated with the disparity in diabetes risk between black and white individuals for women (percent reduction in beta, 112%) and men (percent reduction in beta, 86%). There was no longer disparity in diabetes risk between black and white middle-aged adults after adjustment for biological, neighborhood, psychosocial, socioeconomic, and behavioral factors measured over time (HR for women, 0.79 [95% CI, 0.55-1.14]; HR for men, 0.92 [95% CI, 0.62-1.38]). Conclusions and Relevance: In this cohort study comparing black and white participants, there was a statistically significant increased risk of incident type 2 diabetes among black women and men. However, after adjustment for modifiable risk factors during young adulthood, the disparity was no longer statistically significant.",JAMA,2017 Dec 26,"['P30 DK092949/DK/NIDDK NIH HHS/United States', 'R01 HL114091/HL/NHLBI NIH HHS/United States', 'T32 HL069771/HL/NHLBI NIH HHS/United States']"
Association Between Calcium or Vitamin D Supplementation and Fracture Incidence in Community-Dwelling Older Adults: A Systematic Review and Meta-analysis.,"['Zhao, Jia-Guo', 'Zeng, Xian-Tie', 'Wang, Jia', 'Liu, Lin']","Zhao, Jia-Guo",Tianjin Hospital,"Liu, Lin",Tongji University,,92,"Importance: The increased social and economic burdens for osteoporosis-related fractures worldwide make the prevention of such injuries a major public health goal. Previous studies have reached mixed conclusions regarding the association between calcium, vitamin D, or combined calcium and vitamin D supplements and fracture incidence in older adults. Objective: To investigate whether calcium, vitamin D, or combined calcium and vitamin D supplements are associated with a lower fracture incidence in community-dwelling older adults. Data Sources: The PubMed, Cochrane library, and EMBASE databases were systematically searched from the inception dates to December 24, 2016, using the keywords calcium, vitamin D, and fracture to identify systematic reviews or meta-analyses. The primary randomized clinical trials included in systematic reviews or meta-analyses were identified, and an additional search for recently published randomized trials was performed from July 16, 2012, to July 16, 2017. Study Selection: Randomized clinical trials comparing calcium, vitamin D, or combined calcium and vitamin D supplements with a placebo or no treatment for fracture incidence in community-dwelling adults older than 50 years. Data Extraction and Synthesis: Two independent reviewers performed the data extraction and assessed study quality. A meta-analysis was performed to calculate risk ratios (RRs), absolute risk differences (ARDs), and 95% CIs using random-effects models. Main Outcomes and Measures: Hip fracture was defined as the primary outcome. Secondary outcomes were nonvertebral fracture, vertebral fracture, and total fracture. Results: A total of 33 randomized trials involving 51145 participants fulfilled the inclusion criteria. There was no significant association of calcium or vitamin D with risk of hip fracture compared with placebo or no treatment (calcium: RR, 1.53 [95% CI, 0.97 to 2.42]; ARD, 0.01 [95% CI, 0.00 to 0.01]; vitamin D: RR, 1.21 [95% CI, 0.99 to 1.47]; ARD, 0.00 [95% CI, -0.00 to 0.01]. There was no significant association of combined calcium and vitamin D with hip fracture compared with placebo or no treatment (RR, 1.09 [95% CI, 0.85 to 1.39]; ARD, 0.00 [95% CI, -0.00 to 0.00]). No significant associations were found between calcium, vitamin D, or combined calcium and vitamin D supplements and the incidence of nonvertebral, vertebral, or total fractures. Subgroup analyses showed that these results were generally consistent regardless of the calcium or vitamin D dose, sex, fracture history, dietary calcium intake, and baseline serum 25-hydroxyvitamin D concentration. Conclusions and Relevance: In this meta-analysis of randomized clinical trials, the use of supplements that included calcium, vitamin D, or both compared with placebo or no treatment was not associated with a lower risk of fractures among community-dwelling older adults. These findings do not support the routine use of these supplements in community-dwelling older people.",JAMA,2017 Dec 26,
"Effect of Antibiotic Prophylaxis on Surgical Site Infections Following Removal of Orthopedic Implants Used for Treatment of Foot, Ankle, and Lower Leg Fractures: A Randomized Clinical Trial.","['Backes, Manouk', 'Dingemans, Siem A', 'Dijkgraaf, Marcel G W', 'van den Berg, H Rogier', 'van Dijkman, Bart', 'Hoogendoorn, Jochem M', 'Joosse, Pieter', 'Ritchie, Ewan D', 'Roerdink, W Herbert', 'Schots, Judith P M', 'Sosef, Nico L', 'Spijkerman, Ingrid J B', 'Twigt, Bas A', 'van der Veen, Alexander H', 'van Veen, Ruben N', 'Vermeulen, Jefrey', 'Vos, Dagmar I', 'Winkelhagen, Jasper', 'Goslings, J Carel', 'Schepers, Tim']","Backes, Manouk","Academic Medical Centre, University of Amsterdam","Schepers, Tim","Academic Medical Centre, University of Amsterdam",,21,"Importance: Following clean (class I, not contaminated) surgical procedures, the rate of surgical site infection (SSI) should be less than approximately 2%. However, an infection rate of 12.2% has been reported following removal of orthopedic implants used for treatment of fractures below the knee. Objective: To evaluate the effect of a single dose of preoperative antibiotic prophylaxis on the incidence of SSIs following removal of orthopedic implants used for treatment of fractures below the knee. Design, Setting, and Participants: Multicenter, double-blind, randomized clinical trial including 500 patients aged 18 to 75 years with previous surgical treatment for fractures below the knee who were undergoing removal of orthopedic implants from 19 hospitals (17 teaching and 2 academic) in the Netherlands (November 2014-September 2016), with a follow-up of 6 months (final follow-up, March 28, 2017). Exclusion criteria were an active infection or fistula, antibiotic treatment, reimplantation of osteosynthesis material in the same session, allergy for cephalosporins, known kidney disease, immunosuppressant use, or pregnancy. Interventions: A single preoperative intravenous dose of 1000 mg of cefazolin (cefazolin group, n = 228) or sodium chloride (0.9%; saline group, n = 242). Main Outcomes and Measures: Primary outcome was SSI within 30 days as measured by the criteria from the US Centers for Disease Control and Prevention. Secondary outcome measures were functional outcome, health-related quality of life, and patient satisfaction. Results: Among 477 randomized patients (mean age, 44 years [SD, 15]; women, 274 [57%]; median time from orthopedic implant placement, 11 months [interquartile range, 7-16]), 470 patients completed the study. Sixty-six patients developed an SSI (14.0%): 30 patients (13.2%) in the cefazolin group vs 36 in the saline group (14.9%) (absolute risk difference, -1.7 [95% CI, -8.0 to 4.6], P = .60). Conclusions and Relevance: Among patients undergoing surgery for removal of orthopedic implants used for treatment of fractures below the knee, a single preoperative dose of intravenous cefazolin compared with saline did not reduce the risk of surgical site infection within 30 days following implant removal. Trial Registration: clinicaltrials.gov Identifier: NCT02225821.",JAMA,2017 Dec 26,
Association of Short-term Exposure to Air Pollution With Mortality in Older Adults.,"['Di, Qian', 'Dai, Lingzhen', 'Wang, Yun', 'Zanobetti, Antonella', 'Choirat, Christine', 'Schwartz, Joel D', 'Dominici, Francesca']","Di, Qian",Harvard School of Public Health,"Dominici, Francesca",Harvard School of Public Health,,52,"Importance: The US Environmental Protection Agency is required to reexamine its National Ambient Air Quality Standards (NAAQS) every 5 years, but evidence of mortality risk is lacking at air pollution levels below the current daily NAAQS in unmonitored areas and for sensitive subgroups. Objective: To estimate the association between short-term exposures to ambient fine particulate matter (PM2.5) and ozone, and at levels below the current daily NAAQS, and mortality in the continental United States. Design, Setting, and Participants: Case-crossover design and conditional logistic regression to estimate the association between short-term exposures to PM2.5 and ozone (mean of daily exposure on the same day of death and 1 day prior) and mortality in 2-pollutant models. The study included the entire Medicare population from January 1, 2000, to December 31, 2012, residing in 39182 zip codes. Exposures: Daily PM2.5 and ozone levels in a 1-km x 1-km grid were estimated using published and validated air pollution prediction models based on land use, chemical transport modeling, and satellite remote sensing data. From these gridded exposures, daily exposures were calculated for every zip code in the United States. Warm-season ozone was defined as ozone levels for the months April to September of each year. Main Outcomes and Measures: All-cause mortality in the entire Medicare population from 2000 to 2012. Results: During the study period, there were 22433862 million case days and 76143209 control days. Of all case and control days, 93.6% had PM2.5 levels below 25 mug/m3, during which 95.2% of deaths occurred (21353817 of 22433862), and 91.1% of days had ozone levels below 60 parts per billion, during which 93.4% of deaths occurred (20955387 of 22433862). The baseline daily mortality rates were 137.33 and 129.44 (per 1 million persons at risk per day) for the entire year and for the warm season, respectively. Each short-term increase of 10 mug/m3 in PM2.5 (adjusted by ozone) and 10 parts per billion (10-9) in warm-season ozone (adjusted by PM2.5) were statistically significantly associated with a relative increase of 1.05% (95% CI, 0.95%-1.15%) and 0.51% (95% CI, 0.41%-0.61%) in daily mortality rate, respectively. Absolute risk differences in daily mortality rate were 1.42 (95% CI, 1.29-1.56) and 0.66 (95% CI, 0.53-0.78) per 1 million persons at risk per day. There was no evidence of a threshold in the exposure-response relationship. Conclusions and Relevance: In the US Medicare population from 2000 to 2012, short-term exposures to PM2.5 and warm-season ozone were significantly associated with increased risk of mortality. This risk occurred at levels below current national air quality standards, suggesting that these standards may need to be reevaluated.",JAMA,2017 Dec 26,"['R35 CA197449/CA/NCI NIH HHS/United States', 'P30 ES000002/ES/NIEHS NIH HHS/United States', 'R21 ES024012/ES/NIEHS NIH HHS/United States', 'R01 ES026217/ES/NIEHS NIH HHS/United States', 'R01 ES024332/ES/NIEHS NIH HHS/United States']"
Surgery Improves Seizures in Children With Drug-Resistant Epilepsy.,"['Slomski, Anita']","Slomski, Anita",Columbia University School of Nursing,"Slomski, Anita",Columbia University School of Nursing,,3,,JAMA,2017 Dec 26,
